id,department_id,source,total_quantity,current_stock
00089064-1303-49d7-a281-ade9354a28d3,Dashen Bank DHCI,inventory,108.0,108.0
000d13b3-90b8-4995-bc81-fdca1461f37d,EPSS,inventory,35.0,35.0
00127af5-67f8-4819-a7e2-6fa0a225611f,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
0017821f-df51-4b1f-95d3-47d5b324bafd,HQ Office Facility,inventory,29.0,29.0
00178296-6890-45e0-bd26-31e2ed755056,ICT Park TTA,asset,45.0,45.0
00247031-422e-4a20-b21a-c1dd044ff11d,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
003bb89a-bb28-4220-b223-eec0bda808e6,MINT Commissioning of Smart Communication Rooms at,inventory,88.0,88.0
003c6eaf-a63b-4b57-bab0-ef3d20c10315,HQ Office Facility,inventory,100.0,100.0
00405759-8f91-4b19-bf6e-a39a552119e1,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
00491638-9305-4f6e-9de6-12b05ed5f5af,ICT Park TTA,inventory,20.0,20.0
00518469-0950-41e1-ba1b-0506cc5afff1,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
0066c0c6-1331-44c4-a209-125c99891fab,Kaizen VC Equipment,inventory,3.0,3.0
00751303-9ec1-4ad1-bd5c-7d384fccbec1,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
0086cd96-6533-4d7f-b840-79efe50a1470,Kaizen VC Equipment,inventory,150.0,150.0
008e4021-8706-4c40-8f6c-90a1d82eca0c,Kaizen VC Equipment,inventory,150.0,150.0
0092b44b-cc94-458c-a0a2-46e1f6f1c92f,ICT Park TTA,inventory,3.0,3.0
0094396a-bfca-4637-913a-98033d42bcde,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
00985481-9eaa-4e3d-802a-3ea854c8a2ba,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
0098ef10-6a7d-4885-9348-8acef38b35df,ICT Park TTA,asset,45.0,45.0
00a4fd91-e4e4-4bab-b1b7-b40d71e2633a,ICT Park TTA,inventory,200.0,200.0
00ab67c5-2e87-42b1-bffe-fb49fa5e08b8,MINT Commissioning of Smart Communication Rooms at,inventory,87.0,87.0
00af35c4-145f-4e25-af09-6020500f8b22,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
00bf8fd8-154c-438b-98da-4bbde1d1b85d,ICT Park TTA,inventory,25.0,25.0
00c65441-0942-4f43-9226-70a1545e17da,HQ Office Facility,inventory,100.0,100.0
00cbda97-bafc-4131-a206-9c020afba78f,ICT Park TTA,inventory,72.0,72.0
00daab7a-7d9d-41f5-9a38-c65fd58d797a,ICT Park TTA,inventory,200.0,200.0
00ffe337-be89-4986-8f07-e0889f90c0fb,ICT Park TTA,inventory,125.0,125.0
010562cc-ef6e-4f4b-8735-3ea30c4e4782,ICT Park TTA,inventory,40.0,40.0
01133c16-d7ab-4ec8-94fd-f95ca7e92dbb,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
015855cd-1dbc-4c4e-b3fe-1093481027be,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
015e7cef-4cd6-4c1e-9d2d-d2a75166a247,HQ fleet,inventory,1.0,1.0
016ed253-4e54-44d4-afcd-e92a60c9ec6c,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
017b5f07-2f35-4e89-a6ab-eb5e1294e1f4,ICT Park TTA,asset,7.0,7.0
01814b9f-e422-40b7-8a1e-b77708b9d680,ICT Park TTA,inventory,10.0,10.0
01816f7a-f010-4de7-a82f-babbf8da8e99,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
01903322-8ce9-433f-b7a9-324482bba9ef,HQ Office Facility,inventory,6.0,6.0
0194271e-0102-4996-bd4f-5dab16a7c938,ICT Park TTA,asset,45.0,45.0
01a6640a-a4d8-454b-af23-e3aafb896472,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
01c864df-4616-4834-b059-f34e5c4308ba,ICT Park TTA,inventory,200.0,200.0
01ca411a-0ed9-4e9e-8f4b-050fb7c4be4b,MINT Commissioning of Smart Communication Rooms at,inventory,2.0,2.0
01ce84ed-fb0d-4026-a5e0-4501f79ff414,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
01cfe68b-f620-4d20-8b1b-08afccf007ea,ICT Park TTA,inventory,40.0,40.0
01d9cb14-b5ff-48bb-a86c-42e6b38fa037,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
01e56ead-6ee8-4afe-bcf5-ec3e046afc13,HQ Office Facility,inventory,5.0,5.0
01eca65a-c110-4725-ad7e-049af61f2cdb,EPSS,inventory,80.0,80.0
01ee6922-b93a-4a6e-82bb-0ac324bbd454,ICT Park TTA,inventory,13.0,13.0
01efba8a-3759-4f84-9d1a-44c1a5686b31,ICT Park TTA,inventory,200.0,200.0
01f03f33-6e44-46f0-9a79-2447ea0b8eac,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
01f2ed1b-c292-4ed1-8b6d-c3517b1e4d51,HQ Office Facility,inventory,15.0,15.0
020ca095-b65d-4c56-8202-fa4a8709c035,ICT Park TTA,inventory,10.0,10.0
0212ec74-83ee-4a99-afd8-ed29b367444e,HQ Office Facility,inventory,1.0,1.0
0213245e-1583-4530-b9aa-c10a75bdf4bf,MINT Commissioning of Smart Communication Rooms at,inventory,50.0,50.0
021d0738-a0a2-4d05-913b-8ececedb74d7,ICT Park TTA,inventory,200.0,200.0
021f81bf-f3b0-4702-a274-7e5ff4c7c078,HQ Office Facility,inventory,3.0,3.0
021fb160-9d17-4ca6-9ae5-ded53042f303,MINT Commissioning of Smart Communication Rooms at,inventory,87.0,87.0
02292bb3-9b8d-4975-b707-422bfd345da0,MINT Commissioning of Smart Communication Rooms at,inventory,3.0,3.0
022a6836-6c8f-4b99-b22c-445402930320,ICT Park TTA,inventory,45.0,45.0
022ef5be-93b0-45b8-8398-0b759e67b706,ICT Park TTA,inventory,10.0,10.0
0238ffcd-5008-40b5-a8fe-6d2b8917bdad,EPSS,inventory,150.0,150.0
0243d95a-556c-4d52-80fe-f8f961a3d734,ICT Park TTA,asset,45.0,45.0
0253f5c3-537d-473f-9aaf-c77752f79deb,ICT Park TTA,inventory,72.0,72.0
0257e9e1-2939-4b40-8ec9-cfdb5231e09d,ICT Park TTA,asset,45.0,45.0
027bb900-468c-4ecd-88ac-f89e4ed00c4a,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
02843b11-a257-47d6-93b2-daab901f5ddd,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
02960ff9-cdbf-411e-a3ac-433af30074d1,ICT Park TTA,inventory,6.0,6.0
02a74038-6a90-4693-be7d-1718902f99df,HQ Office Facility,inventory,29.0,29.0
02a8f8f9-65ba-411e-8153-c40000a41393,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
02b71732-9df0-4019-92b8-656620b050ba,ICT Park TTA,inventory,10.0,10.0
02b839c4-1eaf-4169-ba9e-206abcd1aa44,MINT Commissioning of Smart Communication Rooms at,inventory,88.0,88.0
02ccac24-94f0-489b-b1d5-6a660888c482,ICT Park TTA,inventory,200.0,200.0
02d5c7ec-9dfc-4f3e-a4e2-47627eb5681e,ICT Park TTA,inventory,200.0,200.0
02ed310d-e692-4127-8ebf-b9ba117be97d,EPSS,inventory,150.0,150.0
02eda6ff-baa6-4fdf-b869-132636be224d,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
02f0ace0-c04b-4ba9-9976-3ad3c0f3dbec,ICT Park TTA,inventory,200.0,200.0
02f8c2ed-c834-4f18-aacf-ef73a7527fca,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
02f8d2e7-726a-43e7-83f2-622f1c6cc518,ICT Park TTA,asset,40.0,40.0
031203f6-c51d-4c53-a7c9-5998320b9b78,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
031204a8-7d4c-4719-839b-e0731d1769be,HQ Office Facility,inventory,60.0,60.0
031dceb6-4901-4ba3-be4f-94b4535103f7,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
0322c0e2-7b41-4e96-8c69-bab3f51d9b2a,ICT Park TTA,inventory,10.0,10.0
0337cafb-fc03-477c-9fe2-36c1d8c88280,MINT Commissioning of Smart Communication Rooms at,inventory,87.0,87.0
03407f89-39f7-4a8c-b242-3e421f15eefe,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
0342e958-39d0-407c-b1e6-b69f1468f43e,MINT Commissioning of Smart Communication Rooms at,inventory,1.0,1.0
034871a6-3dc5-465a-8817-6a4ab10c829c,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
03560f8f-0a66-4fae-91a9-b633d45f081f,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
035e98dd-7953-492c-a98d-e73a23128ed7,HQ Office Facility,inventory,3.0,3.0
035ed2a8-1354-4822-b347-f5aa61dea545,MINT Commissioning of Smart Communication Rooms at,inventory,30.0,30.0
037209a3-ba6f-4079-ae77-a37e65292f38,HQ Office Facility,inventory,60.0,60.0
03749109-d9a5-4a21-9ff6-e01968643ce0,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
