id,tool_id,approved_date,table,is_approved,is_requester_received,is_returned,returned_quantity
1519,00089064-1303-49d7-a281-ade9354a28d3,2025-09-05 08:04:27,inventories,1,1,1,
1517,1da29360-558f-4b92-8578-053d2c9d4a8a,2025-08-28 07:48:26,inventories,1,0,0,
1516,c3437989-20c9-4f60-ae2f-4aea96225689,2025-08-08 09:22:52,inventories,1,0,0,
1514,5277ac68-f98a-4aab-823b-d1647a645393,2025-08-08 07:20:45,inventories,1,0,0,
1513,d18c5348-4614-4c99-9948-dc240d9b4ce1,2025-08-08 05:49:49,inventories,1,0,0,
1512,390b1ec8-6481-47fb-affd-b7093e9634b1,2025-08-08 05:50:03,inventories,1,0,0,
1511,f60ccf18-4b18-480f-b589-776e2aefa1e0,2025-08-07 12:32:33,inventories,1,0,0,
1510,8485ac05-4d85-421f-a80e-67d07a87bbf8,2025-08-07 12:02:53,inventories,1,0,0,
1509,8485ac05-4d85-421f-a80e-67d07a87bbf8,2025-08-07 05:09:17,inventories,1,0,0,
1508,5d9f347b-2986-4773-bc6c-52395e896bc0,2025-08-06 13:37:56,inventories,1,1,0,
1507,f7a61c3e-4a8d-47e8-b398-8e39cece00f7,2025-08-06 13:39:52,inventories,1,0,0,
1505,3700b366-984d-4758-9eb1-ffc175484a4a,2025-08-06 13:45:41,inventories,1,0,0,
1504,246415b2-ca3e-43e2-85d9-b013ee5f78d5,2025-08-06 10:39:33,inventories,1,0,0,
1503,467689bb-6e2d-4bfc-bf3f-33f49239306f,2025-08-05 07:18:21,inventories,1,0,0,
1502,01903322-8ce9-433f-b7a9-324482bba9ef,2025-08-04 13:07:34,inventories,1,0,0,
1501,b6bf5cec-191f-45d4-b77e-f86a0002e03f,2025-08-04 07:19:55,inventories,1,0,0,
1500,b6bf5cec-191f-45d4-b77e-f86a0002e03f,2025-08-04 07:20:07,inventories,1,1,0,
1499,b6bf5cec-191f-45d4-b77e-f86a0002e03f,2025-08-04 07:20:24,inventories,1,0,0,
1498,467689bb-6e2d-4bfc-bf3f-33f49239306f,2025-08-04 07:20:35,inventories,1,1,0,
1497,4fada355-cf98-422b-bbbf-0526537a1ae3,2025-08-04 07:25:33,inventories,1,0,0,
1496,bbec4dad-f2fc-4d9d-90b2-3f3f94538749,2025-07-31 08:14:51,inventories,1,0,0,
1495,35446524-b1d3-471c-8945-a2b020e212e7,2025-08-04 07:20:48,inventories,1,0,0,
1494,5013397d-735a-441c-93ae-d4e1bc6e0081,2025-07-30 13:29:13,inventories,1,0,0,
1493,119a6fb4-878d-477a-9b20-525f33cc0644,2025-07-30 13:29:22,inventories,1,0,0,
1492,104f8cc4-ac6a-40bf-9535-132f8ebecd94,2025-08-04 07:21:35,inventories,1,0,0,
1491,b6bf5cec-191f-45d4-b77e-f86a0002e03f,2025-08-04 07:21:58,inventories,1,0,0,
1490,e0a477ce-66f9-46cf-bc2d-2d5a6f420f7c,2025-08-04 07:22:13,inventories,1,0,0,
1489,026f2603-edc6-4499-927d-c8869b90e2c4,2025-08-04 07:23:11,inventories,1,0,0,
1488,35446524-b1d3-471c-8945-a2b020e212e7,2025-08-04 07:22:57,inventories,1,0,0,
1487,4fada355-cf98-422b-bbbf-0526537a1ae3,2025-08-04 07:22:44,inventories,1,0,0,
1486,4586b311-5efe-4c45-92cf-092b00d2d415,2025-08-04 07:22:27,inventories,1,0,0,
1485,62c946e9-d39b-4d45-b07c-7261226cf174,2025-07-29 08:18:24,inventories,1,0,0,
1484,390b1ec8-6481-47fb-affd-b7093e9634b1,2025-07-29 06:44:10,inventories,1,0,0,
1483,12cd63a5-f6aa-4d6d-9445-9bdda5cd4e89,2025-07-28 13:28:31,inventories,1,0,0,
1482,027c84a0-b916-416d-8eb7-0575370132f3,2025-07-28 13:28:47,inventories,1,0,0,
1481,698c3d05-7809-41a6-950a-face2b655365,2025-07-28 12:56:54,inventories,1,0,0,
1480,5a3004c6-37a8-4154-9b41-7ee0444dae39,2025-07-28 12:57:07,inventories,1,0,0,
1479,0ac5088b-bbc1-4b77-a99b-08740a63eb8b,2025-07-28 12:57:31,inventories,1,0,0,
1478,000d13b3-90b8-4995-bc81-fdca1461f37d,2025-07-28 07:35:54,inventories,1,1,0,
1477,470b2f8d-be80-40e2-9834-a9304c7b412e,2025-07-28 07:15:12,inventories,1,1,0,
1476,fceead7d-1125-4108-bfef-ab6229becabf,2025-07-28 12:58:11,inventories,1,0,0,
1475,e0a477ce-66f9-46cf-bc2d-2d5a6f420f7c,2025-07-28 12:59:08,inventories,1,0,0,
1474,4fada355-cf98-422b-bbbf-0526537a1ae3,2025-07-28 12:58:46,inventories,1,0,0,
1473,1a84b651-6361-44f3-8c8a-c3f4d16c1b49,2025-07-25 07:28:30,inventories,1,1,0,
1472,62c946e9-d39b-4d45-b07c-7261226cf174,2025-07-25 07:28:39,inventories,1,1,0,
1471,4fada355-cf98-422b-bbbf-0526537a1ae3,2025-07-25 05:01:11,inventories,1,0,0,
1469,246415b2-ca3e-43e2-85d9-b013ee5f78d5,2025-07-28 13:02:14,inventories,1,0,0,
1468,246415b2-ca3e-43e2-85d9-b013ee5f78d5,2025-07-25 07:39:34,inventories,1,0,0,
1466,e0a477ce-66f9-46cf-bc2d-2d5a6f420f7c,2025-07-25 07:39:12,inventories,1,0,0,
1465,7ab7df5e-00ea-4ee3-a056-bedebbbfb75e,2025-07-24 13:43:15,inventories,1,1,0,
