project_name,item_name,source,total_requested,total_received,total_returned,total_approved,last_updated
AAiT,Big Drill,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
AAiT,Chargeable Drill,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
AAiT,Star screw driver,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
AMU,Adjustable Wrench,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
AMU,Big Drill,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
AMU,Brother Labeler/Labeling Machine,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
AMU,Chargeable Drill,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
AMU,Flat/Minus Screw Drivers,tools,2.0,0.0,0.0,0.0,2025-09-16 05:00:15
AMU,Grinder / Small,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
AMU,Knife Cutter,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
AMU,Multimeter,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
AMU,Side Cutter,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
AMU,UTP Cable Tester,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
AMU,UTP Crimper,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
AMU,UTP Puncher,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
AMU,Universal Plier / Pinsa,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
AMU,Vacuum Pump,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
ATI SDN,Big Drill,tools,2.0,0.0,0.0,0.0,2025-09-16 05:00:15
ATI SDN,Brother Labeler/Labeling Machine,tools,2.0,0.0,0.0,0.0,2025-09-16 05:00:15
ATI SDN,Chargeable Drill,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
ATI SDN,Splice Protector Sleeve,tools,3.0,0.0,0.0,0.0,2025-09-16 05:00:15
ATI SDWAN and VMWARE License,Big Drill,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
BDU WLAN,Adjustable Wrench,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
BDU WLAN,Multimeter,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
BDU WLAN,OTDR,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
BDU WLAN,Universal Plier / Pinsa,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
BDU-DCF,Adjustable Wrench,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
BDU-DCF,OTDR,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
BDU-DCF,Splice Protector Sleeve,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
BDU-DCF,UTP Crimper,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
