iter	MAE	RMSE
0	0.6009992396	0.8421160333
1	0.5879885848	0.8281597124
2	0.5775489494	0.8171176523
3	0.5663835891	0.8052223094
4	0.5584630379	0.7985311351
5	0.5440720978	0.7852556971
6	0.5309100323	0.7733845624
7	0.5198640109	0.763635163
8	0.509800194	0.7546565886
9	0.5024651796	0.7482515944
10	0.4958277297	0.7431796143
11	0.4879810104	0.7369686892
12	0.4820837299	0.7331370587
13	0.476085152	0.7281166431
14	0.4716370735	0.7258638664
15	0.4662901921	0.7218179125
16	0.4624492793	0.7188104281
17	0.4588778781	0.7166690366
18	0.4549573642	0.7138001633
19	0.451605966	0.7115593279
20	0.4479876833	0.7080951572
21	0.445618677	0.7070043117
22	0.4434629505	0.7053792937
23	0.4414754048	0.7037824396
24	0.4385456094	0.7013123618
25	0.4370129721	0.7006012679
26	0.4349197783	0.6989558436
27	0.4337201128	0.6978777016
28	0.4322838212	0.6972530216
29	0.429987904	0.6950968479
30	0.4287158617	0.6943193785
31	0.427612661	0.6933503174
32	0.4254679784	0.6912945049
33	0.4244055765	0.6901493469
34	0.4234585998	0.6891015523
35	0.4218789514	0.6871319581
36	0.4201787853	0.6846683047
37	0.4186943268	0.6826964173
38	0.4180604351	0.6823022528
39	0.4178620944	0.6818849069
40	0.4174771413	0.6818364668
41	0.4170055203	0.6815557634
42	0.4159434781	0.6801992849
43	0.4150049931	0.679318474
44	0.4142426564	0.6779870562
45	0.4125791551	0.6756549893
46	0.411737379	0.6748386023
47	0.4113191755	0.6746144009
48	0.4108704347	0.6740201639
49	0.4101198696	0.6729800228
50	0.4091165411	0.6716739819
51	0.408805047	0.6713172787
52	0.4076552629	0.6697425324
53	0.40729024	0.6693625058
54	0.4069229354	0.6687747629
55	0.40667018	0.6686483244
56	0.4061901554	0.6681300741
57	0.4058822315	0.6677903104
58	0.4049978393	0.666160296
59	0.4046198344	0.6654448226
60	0.4038377347	0.6641492505
61	0.4037389391	0.6640812988
62	0.4024846068	0.6623407779
63	0.4013794341	0.6611326218
64	0.4006944675	0.6601590051
65	0.4005869138	0.6600756576
66	0.4006917248	0.6598896112
67	0.4003374782	0.659369986
68	0.4002047939	0.6592112088
69	0.4001958401	0.6590390857
70	0.3999736855	0.6586668131
71	0.3997425655	0.6581752684
72	0.399638686	0.6579901166
73	0.3990773361	0.6570814543
74	0.3984744101	0.6559595091
75	0.3981458864	0.6556406044
76	0.397631337	0.654732252
77	0.397578261	0.6546389914
78	0.3973384762	0.6540675709
79	0.3968310231	0.653459676
80	0.3961922767	0.6527009164
81	0.3959135283	0.652141164
82	0.3954526276	0.6513367419
83	0.3949234544	0.6504336574
84	0.3949611925	0.6501171032
85	0.3944752592	0.6493517877
