iter	Passed	Remaining
0	64	32023
1	66	16474
2	68	11295
3	68	8499
4	69	6927
5	71	5847
6	76	5382
7	77	4782
8	79	4340
9	81	3998
10	82	3679
11	83	3402
12	84	3170
13	85	2972
14	86	2803
15	87	2654
16	90	2568
17	92	2479
18	93	2369
19	94	2262
20	97	2217
21	100	2189
22	102	2126
23	103	2047
24	105	2006
25	107	1959
26	110	1940
27	111	1879
28	112	1833
29	113	1781
30	114	1735
31	115	1691
32	116	1648
33	117	1609
34	118	1578
35	119	1534
36	119	1500
37	120	1470
38	121	1434
39	122	1403
40	123	1379
41	124	1358
42	126	1339
43	129	1338
44	130	1319
45	131	1299
46	132	1278
47	133	1260
48	134	1239
49	136	1224
50	136	1201
51	139	1199
52	139	1176
53	140	1160
54	140	1139
55	141	1124
56	142	1110
57	143	1091
58	143	1076
59	144	1061
60	145	1050
61	146	1035
62	147	1024
63	148	1012
64	149	999
65	150	988
66	151	977
67	151	963
68	152	951
69	152	939
70	153	928
71	154	920
72	155	910
73	156	899
74	157	893
75	158	883
76	159	873
77	160	865
78	162	866
79	163	858
80	164	849
81	164	841
82	166	834
83	167	828
84	168	824
